Nofence ID,ID,Type dyr,Tid,Aktivitet ,Kommentar ,,,,,
37684,1512,Rosa ku,2020-07-17 12:28:58',Beiter start,Blader til 12:30:11,Blader 12:32:00,,12:32:21 filmer rød ku isteden.. Ser ikke hva rosa ku gjør,,
37684,1512,Rosa ku,2020-07-17 12:33:28',Beiter slutt,,"Filmer rosa ku igjen, beiter ikke, vet ikke nøyaktig når beiting sluttet.",,,,
37684,1512,Rosa ku,2020-07-17 12:34:23',Beiter start,,,,,,
37684,1512,Rosa ku,2020-07-17 12:39:53',Beiter slutt,,"Kristin og Steffen kommer med kraftfôrbøtte, for å ta brystmål.. ",,,,
37684,1512,Rosa ku,2020-07-17 12:39:53',VIDEO SLUTT,,Kristin og Steffen holder på med dyra og er etter hvert ute av syne.. ,,,,
37689,1514,Gul ku,2020-07-17 09:34:53',VIDEO START,,,,,,
37689,1514,Gul ku,2020-07-17 09:37:47',Beiter start,,"Filmet med gopro, kua er langt unna, vanskelig å se nøyaktig hva hun gjør",,,,
37689,1514,Gul ku,2020-07-17 10:20:44',Beiter slutt,,,,,,
37689,1514,Gul ku,2020-07-17 10:20:49',Legger seg,,,,,,
37689,1514,Gul ku,2020-07-17 11:32:37',Reiser seg,,,,,,
37689,1514,Gul ku,2020-07-17 11:33:22',Beiter start,,,,,,
37689,1514,Gul ku,2020-07-17 11:34:04',Beiter slutt,,,,,,
37689,1514,Gul ku,2020-07-17 11:34:09',Legger seg,,,,,,
37689,1514,Gul ku,2020-07-17 11:56:10',Reiser seg,,Kristin og Steffen jager opp dyra så det skal skje litt mer,,,,
37689,1514,Gul ku,2020-07-17 11:58:19',Dier start ,Gul egenkalv ,,,,,
37689,1514,Gul ku,2020-07-17 11:59:10',Dier start ,Gul fosterkalv ,,Gul fosterkalv står ved siden av gul egenkalv,,,
37689,1514,Gul ku,2020-07-17 11:59:42',Dier slutt,Gul fosterkalv ,,Går til grønn ku isteden,,,
37689,1514,Gul ku,2020-07-17 12:05:15',Dier start ,Gul fosterkalv ,,,,,
37689,1514,Gul ku,2020-07-17 12:07:09',Dier slutt,Gul fosterkalv ,,,,,
37689,1514,Gul ku,2020-07-17 12:09:25',Dier slutt,Gul egenkalv ,,,,,
37689,1514,Gul ku,2020-07-17 12:12.38',Beiter start,,,,,,
37689,1514,Gul ku,2020-07-17 12:26:46',Beiter slutt ,,"Langt unna, vanskelig å se.. Fra 12:24:06 nærmere",,,,"Ku går vekk, ute av syne fra 12:27:30, ser henne igjen 12:34:06"
37689,1514,Gul ku,2020-07-17 12:34:06',Beiter start,,fra ca. 12:38:28 beiter blader,,,,
37689,1514,Gul ku,2020-07-17 12:39:47',Beiter slutt ,,"Kristin kommer med kraftfôr, ku slutter beiting og går til Kristin og Steffen som skal ta brystmål",,,,
37689,1514,Gul ku,2020-07-17 12:39:47',VIDEO SLUTT ,,,,,,
37792,1525,Grønn ku,2020-07-17 11:58:47',Dier start,Grønn egenkalv ,,,,,
37792,1525,Grønn ku,2020-07-17 11:59:49',Dier start,Gul fosterkalv ,,,,,
37792,1525,Grønn ku,2020-07-17 12:04:48',Dier slutt,Gul fosterkalv ,,,,,
37792,1525,Grønn ku,2020-07-17 12:12:29',Dier slutt ,Grønn egenkalv ,,,,,
37809,1513,Hvit ku,2020-07-17 12:02:39',Dier start,Hvit egenkalv ,,,,,
37809,1513,Hvit ku,2020-07-17 12:15:10',Dier start,Rosa fosterkalv,,,,,
37809,1513,Hvit ku,2020-07-17 12:15:42',Dier slutt,Hvit egenkalv ,,,,,
37809,1513,Hvit ku,2020-07-17 12:15:53',Dier slutt,Rosa fosterkalv ,,,,,
37809,1513,Hvit ku,2020-07-17 12:16:45',Dier start,Rosa fosterkalv  ,,,,,
37809,1513,Hvit ku,2020-07-17 12:17:08',Dier slutt,Rosa fosterkalv ,,,,,
37809,1513,Hvit ku,2020-07-17 12:17:11',Dier start,Hvit egenkalv ,,,,,
37809,1513,Hvit ku,2020-07-17 12:20:32',Dier slutt,Hvit egenkalv ,,,,,
35396,3679,Hvit egenkalv,2020-08-23 16:40:15',VIDEO START,Starter tidligere men ser ikke før Steffen tar vekk vanndråper her så bilde blir klart,,,,,
35396,3679,Hvit egenkalv,2020-08-23 16:53:23',Beiter start,,,,,,
35396,3679,Hvit egenkalv,2020-08-23 16:54:25',Beiter slutt ,,,,,,
35396,3679,Hvit egenkalv,2020-08-23 17:06:19',Beiter start,,,,,,
35396,3679,Hvit egenkalv,2020-08-23 17:06:25',Beiter slutt ,"Beita så vidt noen få sekunder, så beveger han seg videre",,,,,
35396,3679,Hvit egenkalv,2020-08-23 17:07:50',Beiter start,,,,,,
35396,3679,Hvit egenkalv,2020-08-23 17:08:10',Beiter slutt ,"Vet ikke om han egentlig beiter noe her, mest lukting",,,,,
35396,3679,Hvit egenkalv,2020-08-23 17:08:46',Beiter start,Nå beiter han,,,,,
35396,3679,Hvit egenkalv,2020-08-23 17:11:38',Beiter slutt ,Blir forstyrra,,,,,
35396,3679,Hvit egenkalv,2020-08-23 17:19:15',Dier start,,,,,,
35396,3679,Hvit egenkalv,2020-08-23 17:33:23',Dier slutt,,,,,,
35396,3679,Hvit egenkalv,2020-08-23 17:34:04',Dier start,"17:34:17 kua går men kalvene følger etter, dier mer",,,,17:34:52 kua går igjen men hvit egenkalv dier mer,
35396,3679,Hvit egenkalv,2020-08-23 17:37:29',Dier slutt,"De er litt ute av syne, men kalven følger kua og dier litt mer frem til her",,,,,
35396,3679,Hvit egenkalv,2020-08-23 17:37:49',Beiter start,"Snuser litt først, så tar gress i munn her",,,,,
35396,3679,Hvit egenkalv,2020-08-23 17:38:58',Beiter slutt ,Går bort,,,,,
35396,3679,Hvit egenkalv,2020-08-23 17:40:00',Beiter start,"17:42:49 beiter litt blader fra trær, 17:45:03 beiter fra bakken igjen",,,,,
35396,3679,Hvit egenkalv,2020-08-23 17:46:32',Beiter slutt ,"(ser ikke nøyaktig når, går så bortover)",,,,,
35396,3679,Hvit egenkalv,2020-08-23 17:47:03',Beiter start,"Beiter blader, går, mer blader, går inn mellom busker, ser ikke så godt, beiter fra bakken fra ca 17:48:04, så blader, går.. Litt gjemt blant busker inni mellom men bytter på beite blader, gras og gå, 17:53:12 ute fra buskene",,,,,
35396,3679,Hvit egenkalv,2020-08-23 18:06:21',Beiter slutt ,,,,,,
35396,3679,Hvit egenkalv,2020-08-23 18:07:32',Beiter start ,18:10:25 beiter litt blader,,,,,
35396,3679,Hvit egenkalv,2020-08-23 18:11:43',VIDEO SLUTT ,,,,,,
37809,1513,Hvit ku,2020-08-23 16:35:00',VIDEO START ,"(trodde jeg starta filme, men ble ikke filma, vet at kua ca hele tiden frem til rett før kalven begynte å die)",,,,,
37809,1513,Hvit ku,2020-08-23 16:35:00',Beiter start,Vet ikke når hun starta å beite,,,,,
37809,1513,Hvit ku,2020-08-23 17:17:18',Beiter slutt ,,,,,,
37809,1513,Hvit ku,2020-08-23 17:19:15',Dier start,Hvit egenkalv ,,,,,
37809,1513,Hvit ku,2020-08-23 17:24:00',Dier start ,Gul fosterkalv,,,"Videoen stoppa 17:23:00 og starter igjen, Steffen viser klokka på nytt 17:24, men klokke viser ikke sekunder her heller, så blir ikke helt nøyaktig.",,
37809,1513,Hvit ku,2020-08-23 17:24:00',Dier start,Rosa fosterkalv (uten klave),,,"Begge kalvene dier når video starter igjen, vet ikke helt nøyaktig når de starta å die, men det var nok rett før 17:24.",,
37809,1513,Hvit ku,2020-08-23 17:27:42',Dier slutt,Gul fosterkalv ,,,,,
37809,1513,Hvit ku,2020-08-23 17:28:29',Dier start,Gul egenkalv ,,,,,
37809,1513,Hvit ku,2020-08-23 17:30:41',Dier slutt,"Gul egenkalv (kua tisser, rosa fosterkalv og hvit egenkalv stopper diing i noen sekunder før de begynner å die igjen)",,,,,
37809,1513,Hvit ku,2020-08-23 17:33:23',Dier slutt,Hvit egenkalv ,,,,,
37809,1513,Hvit ku,2020-08-23 17:34:04',Dier start,Hvit egenkalv ,,,,,
37809,1513,Hvit ku,2020-08-23 17:34:51',Dier slutt ,"Rosa fosterkalv (kua går, hvit egenkalv følger etter og fortsetter diing)",,,,,
37809,1513,Hvit ku,2020-08-23 17:34:58',Beiter start,,,,,,
37809,1513,Hvit ku,2020-08-23 17:37:29',Dier slutt,Hvit egenkalv ,,,,,
37809,1513,Hvit ku,2020-08-23 20:35:00',VIDEO SLUTT,"(skulle filma til her, vet at kua beita fra slutten av når hvit kalv dia og frem til slutt utenom den perioden nevnt når hun gikk til vannkar og var der litt)",,,,,
37368,3668,Rosa egenkalv,2020-08-24 06:45:10',VIDEO START,Filmer ikke rosa kalv med en gang..,,,,,
37368,3668,Rosa egenkalv,2020-08-24 06:46:07',Beiter start,,,,Steffen surrer en del med kameraet.. ,,
37368,3668,Rosa egenkalv,2020-08-24 06:55:49',Beiter slutt,,,,ute av syne noen ganger… ser igjen 06:58:27,,
37368,3668,Rosa egenkalv,2020-08-24 06:59:22',Beiter start,Beiter så vidt (mest snusing),,,,,
37368,3668,Rosa egenkalv,2020-08-24 06:59:33',Beiter slutt,Står og ser,,,,,
37368,3668,Rosa egenkalv,2020-08-24 07:01:47',Beiter start,"Snuser, smaker på lange strå",,,,,
37368,3668,Rosa egenkalv,2020-08-24 07:02:29',Beiter slutt,,,,,,
37368,3668,Rosa egenkalv,2020-08-24 07:03:08',Beiter start,,,,,,
37368,3668,Rosa egenkalv,2020-08-24 07:08:07',Beiter slutt,,,,,,
37368,3668,Rosa egenkalv,2020-08-24 07:09:22',Beiter start,,,,,,
37368,3668,Rosa egenkalv,2020-08-24 07:40:31',Beiter slutt,,,,,,
37368,3668,Rosa egenkalv,2020-08-24 07:41:10',Beiter start,,,,,,
37368,3668,Rosa egenkalv,2020-08-24 07:41:43',Beiter slutt,,,,,,
